id_order_detail,order_id,product_id,quantity,name,supplier_id,category_id,unit,price,id,name_category,description,customer_id,employee_id,date,shipper_id,name_order,contact,address,city,postal_code,country,last_name,first_name,birthdate,photo,notes,name_shipper,phone,id_supplier,name_supplier,contact_supplier,address_supplier,city_supplier,postal_code_supplier,country_supplier,phone_supplier
1,10248,11,12,Queso Cabrales,5,4,1 kg pkg.,21.0,4,Dairy Products,Cheeses,90,5,1996-07-04,3,Wilman Kala,Matti Karttunen,Keskuskatu 45,Helsinki,21240,Finland,Buchanan,Steven,1955-03-04,EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management'. He is fluent in French.",Federal Shipping,(503) 555-9931,5,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Calle del Rosal 4,Oviedo,33007,Spain,(98) 598 76 54
2,10248,42,10,Singaporean Hokkien Fried Mee,20,5,32 - 1 kg pkgs.,14.0,5,Grains/Cereals,"Breads, crackers, pasta, and cereal",90,5,1996-07-04,3,Wilman Kala,Matti Karttunen,Keskuskatu 45,Helsinki,21240,Finland,Buchanan,Steven,1955-03-04,EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management'. He is fluent in French.",Federal Shipping,(503) 555-9931,20,Leka Trading,Chandra Leka,"471 Serangoon Loop, Suite #402",Singapore,0512,Singapore,555-8787
3,10248,72,5,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,4,Dairy Products,Cheeses,90,5,1996-07-04,3,Wilman Kala,Matti Karttunen,Keskuskatu 45,Helsinki,21240,Finland,Buchanan,Steven,1955-03-04,EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management'. He is fluent in French.",Federal Shipping,(503) 555-9931,14,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323
4,10249,14,9,Tofu,6,7,40 - 100 g pkgs.,23.25,7,Produce,Dried fruit and bean curd,81,6,1996-07-05,1,Tradição Hipermercados,Anabela Domingues,"Av. Inês de Castro, 414",São Paulo,05634-030,Brazil,Suyama,Michael,1963-07-02,EmpID6.pic,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses 'Multi-Cultural Selling' and 'Time Management for the Sales Professional'. He is fluent in Japanese and can read and write French, Portuguese, and Spanish.",Speedy Express,(503) 555-9831,6,Mayumi's,Mayumi Ohno,92 Setsuko Chuo-ku,Osaka,545,Japan,(06) 431-7877
5,10249,51,40,Manjimup Dried Apples,24,7,50 - 300 g pkgs.,53.0,7,Produce,Dried fruit and bean curd,81,6,1996-07-05,1,Tradição Hipermercados,Anabela Domingues,"Av. Inês de Castro, 414",São Paulo,05634-030,Brazil,Suyama,Michael,1963-07-02,EmpID6.pic,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses 'Multi-Cultural Selling' and 'Time Management for the Sales Professional'. He is fluent in Japanese and can read and write French, Portuguese, and Spanish.",Speedy Express,(503) 555-9831,24,"G'day, Mate",Wendy Mackenzie,170 Prince Edward Parade Hunter's Hill,Sydney,2042,Australia,(02) 555-5914
6,10250,41,10,Jack's New England Clam Chowder,19,8,12 - 12 oz cans,9.65,8,Seafood,Seaweed and fish,34,4,1996-07-08,2,Hanari Carnes,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,Peacock,Margaret,1958-09-19,EmpID4.pic,Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.,United Package,(503) 555-3199,19,New England Seafood Cannery,Robb Merchant,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,02134,USA,(617) 555-3267
7,10250,51,35,Manjimup Dried Apples,24,7,50 - 300 g pkgs.,53.0,7,Produce,Dried fruit and bean curd,34,4,1996-07-08,2,Hanari Carnes,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,Peacock,Margaret,1958-09-19,EmpID4.pic,Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.,United Package,(503) 555-3199,24,"G'day, Mate",Wendy Mackenzie,170 Prince Edward Parade Hunter's Hill,Sydney,2042,Australia,(02) 555-5914
8,10250,65,15,Louisiana Fiery Hot Pepper Sauce,2,2,32 - 8 oz bottles,21.05,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",34,4,1996-07-08,2,Hanari Carnes,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,Peacock,Margaret,1958-09-19,EmpID4.pic,Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.,United Package,(503) 555-3199,2,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822
9,10251,22,6,Gustaf's Knäckebröd,9,5,24 - 500 g pkgs.,21.0,5,Grains/Cereals,"Breads, crackers, pasta, and cereal",84,3,1996-07-08,1,Victuailles en stock,Mary Saveley,"2, rue du Commerce",Lyon,69004,France,Leverling,Janet,1963-08-30,EmpID3.pic,Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.,Speedy Express,(503) 555-9831,9,PB Knäckebröd AB,Lars Peterson,Kaloadagatan 13,Göteborg,S-345 67,Sweden,031-987 65 43
10,10251,57,15,Ravioli Angelo,26,5,24 - 250 g pkgs.,19.5,5,Grains/Cereals,"Breads, crackers, pasta, and cereal",84,3,1996-07-08,1,Victuailles en stock,Mary Saveley,"2, rue du Commerce",Lyon,69004,France,Leverling,Janet,1963-08-30,EmpID3.pic,Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.,Speedy Express,(503) 555-9831,26,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665
